iv_threshold,profit_target_pct,num_trades,win_rate,sharpe,max_drawdown_pct,profit_factor,total_pnl,final_balance
80,50.0,4,50.0,-0.10083738545169957,-1.8416896960126332,0.7750309023485791,-2729.9999999999927,497270.0
80,30.0,4,50.0,-0.19049585439585232,-1.8490671674144026,0.6084672435105072,-4751.249999999996,495248.75
80,40.0,4,50.0,-0.19049585439585232,-1.8490671674144026,0.6084672435105072,-4751.249999999996,495248.75
70,50.0,3,33.33333333333333,-0.33316756548461024,-1.8579319305914068,0.410074165636589,-7158.7499999999945,492841.25
60,50.0,3,33.33333333333333,-0.33316756548461024,-1.8579319305914068,0.410074165636589,-7158.7499999999945,492841.25
65,50.0,3,33.33333333333333,-0.33316756548461024,-1.8579319305914068,0.410074165636589,-7158.7499999999945,492841.25
75,50.0,3,33.33333333333333,-0.33316756548461024,-1.8579319305914068,0.410074165636589,-7158.7499999999945,492841.25
70,30.0,3,33.33333333333333,-0.45203601482577516,-1.8635540852630923,0.28522867737948115,-8673.749999999998,491326.25
65,40.0,3,33.33333333333333,-0.45203601482577516,-1.8635540852630923,0.28522867737948115,-8673.749999999998,491326.25
65,30.0,3,33.33333333333333,-0.45203601482577516,-1.8635540852630923,0.28522867737948115,-8673.749999999998,491326.25
60,40.0,3,33.33333333333333,-0.45203601482577516,-1.8635540852630923,0.28522867737948115,-8673.749999999998,491326.25
60,30.0,3,33.33333333333333,-0.45203601482577516,-1.8635540852630923,0.28522867737948115,-8673.749999999998,491326.25
75,40.0,3,33.33333333333333,-0.45203601482577516,-1.8635540852630923,0.28522867737948115,-8673.749999999998,491326.25
70,40.0,3,33.33333333333333,-0.45203601482577516,-1.8635540852630923,0.28522867737948115,-8673.749999999998,491326.25
75,30.0,3,33.33333333333333,-0.45203601482577516,-1.8635540852630923,0.28522867737948115,-8673.749999999998,491326.25
